full_id,direction,longitude,latitude
n10709818393,backward,13.4703443,52.5537923
n9953878490,forward,13.6201748,52.5377944
n10007629170,forward,13.5224713,52.4870321
n10219089423,forward,13.5174209,52.4714001
n9712972943,backward,13.5175372,52.5682266
n8511247285,forward,13.6167028,52.5408255
n9978932902,backward,13.5159923,52.5439962
n9967770815,forward,13.5419578,52.5427656
n9986383126,backward,13.5460468,52.4742263
n10598989224,backward,13.4456199,52.558511
n10057493634,forward,13.5913509,52.4795346
n10219369885,backward,13.5217605,52.4999212
n10598989252,forward,13.4489828,52.5599502
n10689846301,backward,13.4129459,52.5650544
n10209212353,forward,13.4731202,52.4231336
n10538701334,backward,13.4734449,52.5140223
n11353409123,forward,13.4651463,52.51646
n10287150306,backward,13.3887596,52.517276
n10771343081,backward,13.401502,52.5300141
n10804326462,forward,13.6576279,52.4641175
n10814333899,backward,13.5036523,52.4410123
n10578568400,forward,13.3796121,52.5235161
n8766996159,backward,13.5149944,52.5753469
n9319955637,backward,13.6451848,52.3782791
n10032708849,forward,13.5131102,52.5326734
n9008020272,backward,13.4456648,52.4702951
n9837945799,backward,13.4836534,52.4119326
n11009940525,forward,13.5267183,52.4376347
n9937690320,backward,13.6011092,52.4514477
n10207037772,forward,13.5805204,52.4430475
n10282081293,forward,13.3424914,52.5253907
n6875672623,forward,13.3333191,52.4232077
n9111473059,forward,13.268679,52.509305
n10170688980,backward,13.6061828,52.5209096
n10314437493,forward,13.4423333,52.5328893
n10542357607,backward,13.5161412,52.4822969
n8595376735,backward,13.5569067,52.525193
n10981841487,backward,13.4532348,52.5477607
n12039741081,,13.3914246,52.5302019
n9267109707,forward,13.3091146,52.621858
n11296686915,forward,13.5239585,52.4532094
n5548760600,backward,13.5586234,52.415901
n10169226196,backward,13.6003851,52.5261511
n10684929357,forward,13.5039546,52.5094176
n5299886337,forward,13.3535164,52.4892334
n9523365168,backward,13.4857163,52.6159879
n10289305269,forward,13.4793835,52.5166784
n10013401152,backward,13.4974601,52.5501224
n10282108535,forward,13.3401456,52.5187834
n3835057599,forward,13.3430044,52.5320288
n8887994908,backward,13.3591214,52.5538022
n9557889464,forward,13.5709433,52.3900929
n10171146247,backward,13.3953764,52.4989144
n8354709090,forward,13.5876927,52.523414
n8914391685,backward,13.4533421,52.5420419
n11062842328,backward,13.4822685,52.4114915
n10595818376,backward,13.4099097,52.5542578
n10297987296,forward,13.5738244,52.4526149
n10556350594,forward,13.7364341,52.4294724
n11662686691,forward,13.3988225,52.5081989
n9383799117,backward,13.5717835,52.3911512
n10298391644,forward,13.572172,52.4512388
n10286992786,backward,13.3910988,52.5147602
n8443534266,backward,13.6187738,52.5214541
n10171146246,forward,13.3959253,52.4990742
n10549072880,forward,13.587642,52.4221053
n10569682015,forward,13.4475331,52.5176286
n12001224074,backward,13.2949816,52.4501992
n9509976588,backward,13.5692646,52.5608226
n10017646361,backward,13.5371068,52.5413848
n3611860515,backward,13.4365934,52.5235699
n9546848977,forward,13.4325816,52.5962141
n9665314205,forward,13.514669,52.4465764
n10213971201,forward,13.576882,52.4557772
n10588079807,,13.4274303,52.5457234
n10009272623,forward,13.5419636,52.4576921
n8654013420,forward,13.5604993,52.4898223
n10188320267,forward,13.445566,52.5125777
n10994220524,forward,13.4492956,52.5683799
n11662686685,backward,13.3967843,52.5151055
n9557889462,forward,13.5715273,52.3911682
n10006877242,forward,13.5252416,52.4822341
n11387936985,forward,13.3865038,52.4211554
n8665273204,backward,13.4207876,52.5533182
n10592118605,,13.4451144,52.5454428
n9650711362,forward,13.5614162,52.4013174
n10055271178,forward,13.6112356,52.5111155
n9554073865,backward,13.5760352,52.463827
n2109271892,backward,13.3972673,52.4240354
n2180068938,forward,13.5027492,52.4802955
n10316130215,backward,13.4590482,52.5266549
n10829461536,backward,13.4778655,52.4100638
n10769941861,backward,13.5209635,52.5035384
n8374092975,forward,13.3973244,52.5285986
n2386319760,backward,13.540101,52.5346044
n10814049935,forward,13.5118974,52.4547585
n9509176651,backward,13.4650736,52.5163079
n10057493637,backward,13.5928519,52.4785737
n10314870845,forward,13.4329087,52.5358869
n5140469203,,13.363789,52.5082809
n5156519029,forward,13.3165456,52.5162758
n9965868434,forward,13.5643409,52.5448851
n10199110096,forward,13.6672042,52.4093723
n9990149913,forward,13.5350774,52.5103571
n539771921,backward,13.4797388,52.4257931
n10888851498,,13.375779,52.4553284
n10127780177,backward,13.5785242,52.5660773
n11400122280,,13.3263498,52.5384422
n9489645203,backward,13.5934639,52.4450711
n10222772014,backward,13.5354113,52.4105727
n11286588587,backward,13.3929816,52.5274269
n9357334193,forward,13.4164016,52.5472009
n286034363,forward,13.5707968,52.5057026
n10296344479,forward,13.545435,52.5677426
n10594236326,backward,13.4336149,52.543418
n10241578521,backward,13.3705023,52.544592
n10575996690,forward,13.4945524,52.5689573
n266628144,forward,13.5738265,52.5051239
n11399910780,backward,13.5070079,52.4970385
n10614372875,backward,13.4129224,52.5325512
n9988903471,forward,13.5292301,52.4881501
n4394888010,forward,13.3890746,52.5276788
n8710451130,backward,13.4173471,52.528459
n8512876842,backward,13.586959,52.547779
n11363994867,backward,13.4632243,52.5081098
n10536839634,backward,13.458041,52.519355
n11387344797,backward,13.4156892,52.4067142
n8678010525,backward,13.4296267,52.5505737
n10587187148,forward,13.4142892,52.5506849
n10154186319,forward,13.5654217,52.4852353
n5759577601,forward,13.3248473,52.4913975
n9896508299,forward,13.4709642,52.6153866
n10281783818,forward,13.3520413,52.5331021
n10199110109,backward,13.6700021,52.4074088
n9967781325,backward,13.5446147,52.5421197
n10804876436,forward,13.7003156,52.4413466
n11158734403,backward,13.2793404,52.5181525
n10158835954,forward,13.5858386,52.5456806
n8667102324,forward,13.4306221,52.5519386
n10314393440,backward,13.4348957,52.5374091
n10556297498,backward,13.7179104,52.4368393
n8691310506,backward,13.2730096,52.6309147
n10536769717,backward,13.4514651,52.5214756
n10013439622,backward,13.4946177,52.5456155
n10183641502,forward,13.5004918,52.5106416
n10290873642,backward,13.5059458,52.5754849
n10559212186,backward,13.4506387,52.5015384
n10777460098,forward,13.378642,52.5275781
n10560881071,backward,13.4940204,52.5119728
n10030761393,forward,13.4785344,52.5376127
n11662686687,backward,13.4010172,52.5117532
n9228690690,forward,13.46105,52.511174
n10055115622,backward,13.5956777,52.5110854
n10706571834,backward,13.4706057,52.5400374
n10214751211,backward,13.5613512,52.5012971
n11135562964,forward,13.3275411,52.5245017
n10804326456,forward,13.6555304,52.4636504
n271949155,backward,13.6236512,52.4467404
n10770669500,forward,13.4095591,52.5386283
n11662686683,forward,13.3968734,52.514342
n10287057003,forward,13.3906831,52.5171928
n3259230229,forward,13.4181534,52.5262728
n10561390028,forward,13.4920003,52.5163526
n9378333042,backward,13.5626136,52.5473287
n10211218463,forward,13.5133429,52.4291587
n8995054107,forward,13.2331114,52.5406098
n8910886924,forward,13.4440838,52.5455131
n10553907079,backward,13.6892225,52.4410156
n11010023680,forward,13.5200615,52.4269459
n8511247290,backward,13.6145953,52.5405542
n8422051181,forward,13.5497383,52.5436878
n11397356834,backward,13.3422142,52.5730427
n10617850312,forward,13.429118,52.5331783
n10816015230,forward,13.4600196,52.6165556
n10216714190,backward,13.4952519,52.4377328
n8792136775,backward,13.3942449,52.4882829
n8794963317,backward,13.5561199,52.5200812
n10202243949,backward,13.3487674,52.5429524
n10296344472,forward,13.5424798,52.5684144
n10804114524,forward,13.6257463,52.4575453
n10216185598,forward,13.4739383,52.4256008
n10867309860,forward,13.7551031,52.438349
n5883398526,backward,13.2898681,52.4708074
n10804326463,backward,13.6615207,52.464982
n1825273950,forward,13.3405678,52.548835
n8374092977,forward,13.3979567,52.5287483
n9658573686,forward,13.4296045,52.5742987
n10222820530,forward,13.5339632,52.4086467
n10188320268,backward,13.4453963,52.5127792
n10292479653,forward,13.461472,52.5294248
n10813983405,backward,13.6636537,52.4112146
n8584790424,backward,13.5401026,52.5343773
n9136211938,backward,13.6167461,52.5406857
n10166139800,backward,13.5609324,52.491072
n10779352101,backward,13.3993921,52.5464305
n10285428019,backward,13.3865435,52.5009409
n9667267953,forward,13.6233218,52.5300319
n8691126895,backward,13.510863,52.5395119
n10188039569,backward,13.4609678,52.5109992
n5687190533,,13.3423405,52.5523888
n10277161698,forward,13.4851406,52.5264024
n10794189757,backward,13.623248,52.5349673
n9176888628,forward,13.4934069,52.4679709
n9556547120,backward,13.5689721,52.4794245
n10593327808,forward,13.4271122,52.5118687
n10888866507,backward,13.3762389,52.4549455
n10948767590,backward,13.7035343,52.4665604
n10978245672,backward,13.5957169,52.4771301
n10734596552,backward,13.4650544,52.4865247
n5551021457,forward,13.5440627,52.4352224
n9651518153,forward,13.5696871,52.4118587
n11062133266,backward,13.3831912,52.5123071
n9008020271,forward,13.4432329,52.4700369
n8664464812,backward,13.4279954,52.5701459
n9370508112,backward,13.5871933,52.4115884
n10570227087,backward,13.4369132,52.5182112
n8663730167,forward,13.5762242,52.4226491
n10829158321,forward,13.4772444,52.4096366
n8909263778,forward,13.4269986,52.5521094
n9988450512,backward,13.5944684,52.4779577
n10060007127,forward,13.5617826,52.5010938
n10584468740,forward,13.4489137,52.5440607
n11037785202,forward,13.4015174,52.5690488
n9980958199,forward,13.5161852,52.5658189
n10884252610,backward,13.3955031,52.5152524
n9969165754,forward,13.5153758,52.5375381
n11387344780,forward,13.4175576,52.4102167
n11387344795,backward,13.4161194,52.4073767
n10884252605,forward,13.3951499,52.5172317
n10994284559,forward,13.4445696,52.5791421
n11077233652,backward,13.3527471,52.5747089
n11093638938,backward,13.3989932,52.5706757
n10104805023,forward,13.6269352,52.5299921
n10804114551,backward,13.6338134,52.4588245
n10055271175,forward,13.6093695,52.5109464
n10823528148,backward,13.6242352,52.5119255
n10308094657,forward,13.4352595,52.4231829
n10657381565,backward,13.6231307,52.5337885
n11222030918,forward,13.3741456,52.5057753
n10576164267,backward,13.4769443,52.5659605
n4406799590,backward,13.3741994,52.5538092
n8443106955,forward,13.6275864,52.5146202
n5693575942,backward,13.3350559,52.5565871
n10035475018,forward,13.5297599,52.5698314
n5551019397,backward,13.5483308,52.4320536
n10594243521,backward,13.4323091,52.5439101
n10814333879,forward,13.5032646,52.4421224
n11037441967,backward,13.4150293,52.5721625
n8908930523,forward,13.4140543,52.5536506
n9162512614,backward,13.5436185,52.5166855
n10222772015,backward,13.5355601,52.4112145
n10817777057,backward,13.5671686,52.492917
n2876334951,backward,13.5884612,52.5027547
n1883472974,forward,13.6404283,52.4477788
n48911508,forward,13.2942915,52.6294775
n10046391580,backward,13.5042735,52.5755367
n10221161896,backward,13.5589992,52.4085032
n10219089424,backward,13.5175459,52.4713525
n10570139741,backward,13.4127339,52.5361065
n10569366274,backward,13.4467807,52.5214002
n10284459232,backward,13.3777392,52.5078592
n9965567926,forward,13.5536214,52.5492499
n10039651310,forward,13.3660435,52.5245749
n9914303495,backward,13.4450919,52.5048698
n10750432005,forward,13.4728744,52.616993
n10789288171,backward,13.6189224,52.4961261
n4385226827,backward,13.2118497,52.5489383
n10176061566,forward,13.5917646,52.5415872
n10199110099,forward,13.6686753,52.4082842
n10134602134,forward,13.6380239,52.5295367
n11069818541,forward,-71.5960319,42.3930799
n9965142056,backward,13.5374634,52.534478
n10013401120,backward,13.4937369,52.5506869
n10554331089,backward,13.6873381,52.4415617
n11347650704,backward,13.4578201,52.5093969
n10207700555,forward,13.5755494,52.4474857
n10031695049,forward,13.4024906,52.5280523
n10268971550,,13.6096103,52.533376
n11391062298,backward,13.4346921,52.5044426
n9162512616,forward,13.544889,52.5165013
n10957597430,forward,13.3767033,52.5646752
n11375605915,forward,13.5091177,52.4914459
n9853092090,backward,13.4160526,52.6050744
n10201147777,forward,13.4504462,52.5086532
n10153888746,forward,13.5772586,52.4865491
n10062827114,forward,13.6120453,52.5130058
n9761475989,backward,13.6040992,52.514608
n10203638591,backward,13.417956,52.5164831
n5176025688,forward,13.3035998,52.4963707
n10287435797,forward,13.3900397,52.5085841
n11002889418,backward,13.5827462,52.4341973
n9544315411,forward,13.5039168,52.5526993
n12183061558,forward,13.4538958,52.5498479
n10569366293,forward,13.4500552,52.522233
n9855126637,forward,13.3814351,52.6325076
n10032708852,forward,13.5158355,52.5330186
n10188039534,forward,13.4648661,52.5095202
n10758219090,backward,13.4672925,52.5599512
n10188309482,forward,13.447423,52.5133895
n10211218465,forward,13.5133044,52.429576
n9556547146,forward,13.5733817,52.4850319
n10594243542,forward,13.4385357,52.5413026
n10057622113,forward,13.6070792,52.5009993
n10605450579,forward,13.4584647,52.5497515
n533951433,backward,13.4483817,52.5297455
n9546765709,backward,13.4532859,52.5913735
n8613937957,backward,13.5437622,52.537759
n10224717205,backward,13.3707477,52.5176455
n10823615312,forward,13.6149596,52.5110667
n9510035790,forward,13.5682584,52.5736153
n9553643285,forward,13.5806414,52.4601043
n10605450543,backward,13.4557533,52.5491654
n10294510939,backward,13.5032709,52.5756998
n9544604594,forward,13.5211396,52.5677531
n10580925562,forward,13.4978394,52.499539
n10281784144,forward,13.3494069,52.5317772
n10207318732,forward,13.5225191,52.435056
n3182195699,backward,13.4130756,52.5199087
n10760401282,forward,13.4095577,52.5226353
n11064239351,backward,13.3075373,52.5114348
n9662591186,backward,13.1493676,52.5540748
n11064314397,,13.3100412,52.4932885
n9523225053,backward,13.498119,52.628257
